# Annual output values extracted from ELM simulation
# Source file: tmpw6q3nz48.nc
# Years: 1997 - 2009
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual mean, gC/m^2/s)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual mean, gC/m^2/s)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean daily flux, umol/m2/day)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
1997	701.287903	119.603363	734.645447	33.479370	-0.000001	-0.000001	152.960953	76.747627	37.209389	159964.750000	6083.482422	940.549805	7341.533691
1998	847.329651	185.405151	823.963318	-23.247213	0.000001	0.000001	162.038864	70.494896	41.733860	193277.093750	6089.374512	932.976990	7338.602051
1999	747.158752	169.371704	721.789612	-25.252810	0.000001	0.000001	144.002502	75.737015	36.702274	170427.984375	6103.054688	932.070862	7364.682129
2000	744.369141	184.354004	725.149292	-19.106092	0.000001	0.000001	165.134140	72.173851	39.233017	169791.656250	6118.003906	937.235962	7382.972656
2001	697.950439	118.875389	715.228882	17.389706	-0.000001	-0.000001	136.153885	75.865730	35.115856	159203.468750	6121.799316	946.115417	7390.887695
2002	895.666016	228.715714	827.752502	-67.804810	0.000002	0.000002	160.802155	72.072639	42.558372	204302.671875	6135.765137	942.486328	7409.564453
2003	778.049927	173.782928	762.354187	-15.589515	0.000000	0.000000	158.087128	74.861023	40.499355	177474.281250	6150.476562	966.027222	7450.841797
2004	762.559998	150.084381	761.426758	-1.029465	0.000000	0.000000	148.951035	74.373116	38.428886	173941.015625	6159.998047	970.425232	7462.709473
2005	792.437073	177.892944	768.028015	-24.307522	0.000001	0.000001	153.483856	73.104813	40.054935	180756.015625	6169.665527	971.678101	7473.928711
2006	841.269714	193.714478	803.962158	-37.208294	0.000001	0.000001	156.406891	75.522797	41.157078	191894.812500	6180.418457	987.674561	7501.233398
2007	811.979492	147.867279	817.775818	5.893310	-0.000000	-0.000000	153.663513	71.954117	40.621624	185213.687500	6189.801270	994.412354	7521.043945
2008	699.409912	131.419449	699.953857	0.638842	-0.000000	-0.000000	131.963394	78.974525	31.741203	159536.390625	6204.532715	962.823975	7515.763672
2009	867.267395	216.962570	843.672119	-23.502619	0.000001	0.000001	193.367203	67.607887	48.577724	197824.937500	6216.187500	978.985107	7531.256348
