# Annual region-averaged outputs (area*landfrac weighted)
# Case: 20260422_coastal_LA_ICB20TRCNPRDCTCBC_baseline
# Years: 1850 - 2024
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean, umol/m2s)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
1879	171.412810	85.624388	169.958802	0.500045	-0.667763	1.525150	84.170380	20.239441	33.609872	39099.503564	5668.072732	1351.591700	7618.826095
1880	166.139301	82.744942	164.060345	-0.896078	0.986335	2.309134	80.665986	25.635887	35.394911	37896.608717	5669.516085	1346.129508	7617.813130
1881	176.829705	89.222199	175.406858	3.476856	-3.588992	1.607215	87.799352	18.169337	36.639607	40335.104888	5670.552516	1341.526200	7616.744130
1882	170.473195	86.075845	167.720187	-1.250048	1.398716	3.059835	83.322837	22.696592	36.934041	38885.175959	5671.636466	1336.567218	7615.703749
1883	166.803409	83.319218	172.257945	7.546386	-8.206613	-5.886475	88.773753	18.491947	34.633236	38048.092640	5671.981240	1332.735560	7610.793114
1884	170.318659	85.166366	170.268423	2.263356	-2.477958	0.071002	85.116130	17.648422	36.059218	38849.926123	5672.101732	1327.595142	7607.472737
1885	179.858589	91.840276	179.423542	1.746947	-1.902718	0.531289	91.405229	19.313387	36.912775	41025.997661	5669.484638	1330.095908	7600.014199
1886	186.105695	95.904679	183.070339	1.517015	-1.462128	3.395042	92.869323	18.636609	36.685528	42450.971288	5666.918184	1332.588684	7600.371060
1887	175.316825	88.978722	170.074774	-3.350944	3.668731	5.765070	83.736672	19.640245	36.067701	39990.014760	5667.350201	1330.112389	7604.189321
1888	177.749854	88.646594	181.838994	7.091861	-7.701671	-4.448754	92.735734	19.455595	35.655641	40544.992229	5667.080725	1329.466961	7599.428239
1889	180.451155	89.796360	177.659552	-0.523453	0.664345	3.191762	87.004757	17.128560	35.430012	41161.162874	5664.406596	1331.992328	7597.108864
1890	188.216527	94.792330	187.522055	1.912257	-1.909526	1.002958	94.097858	19.505911	35.763965	42932.455001	5662.565733	1332.906111	7593.813802
1891	175.034577	87.722135	174.041822	1.110093	-1.323598	1.025136	86.729381	19.621373	35.458334	39925.633742	5663.870697	1327.120275	7596.580331
1892	169.446041	83.665127	168.259742	4.137840	-4.409095	1.274391	82.478828	24.304399	35.723009	38650.880834	5666.078571	1318.877269	7594.452907
1893	173.473325	86.028763	177.329585	6.889779	-7.699333	-4.319059	89.885023	17.718771	34.179891	39569.510010	5667.031228	1310.975498	7588.008272
1894	182.450246	92.347878	180.410605	0.479691	-0.628706	2.179574	90.308238	18.883655	36.383783	41617.158144	5664.106736	1313.283657	7579.733040
1895	179.955976	91.204594	176.269758	4.456373	-4.833645	4.036085	87.518377	17.424435	34.486315	41048.211665	5662.864204	1308.202764	7579.441508
