# Annual region-averaged outputs (area*landfrac weighted)
# Case: 20260421_coastal_LA_ICB20TRCNPRDCTCBC_TAM
# Years: 1850 - 2014
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean, umol/m2s)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
1850	1634.289687	430.023954	1676.306807	83.649919	-88.546265	-44.598003	472.041074	28.713073	91.168150	372783.780931	13840.259266	9977.919219	26879.472340
1851	1691.610398	454.995689	1760.227946	94.133984	-99.322250	-72.004794	523.613237	22.527176	94.467432	385858.715811	13840.417057	9872.944111	26789.723853
1852	1681.469487	503.466111	1679.991552	19.799689	-22.968038	-0.635091	501.988175	27.975415	88.627925	383545.560019	13833.055383	9834.536520	26726.267555
1853	1725.607819	528.059827	1705.911592	-2.117683	0.426517	18.627642	508.363603	25.939448	88.767816	393613.575212	13825.564560	9849.510008	26723.900701
1854	1688.375394	489.167088	1686.325682	24.553072	-26.969571	1.147503	487.117375	27.226552	90.150259	385120.807114	13820.992372	9845.947865	26713.585881
1855	1603.463515	429.067096	1626.396462	36.432890	-38.872325	-24.719033	452.000042	27.977365	88.319386	365752.287424	13822.923409	9796.421222	26680.336475
1856	1665.487993	478.740813	1658.105652	16.305466	-16.689165	7.922422	471.358473	25.503515	90.662054	379900.158366	13825.333971	9744.176889	26640.668538
1857	1486.371943	447.133185	1492.020571	18.534910	-18.477482	-4.956006	452.781811	35.979498	79.142913	339043.535270	13839.844698	9659.623873	26609.523145
1858	1551.669538	527.419337	1485.695271	-44.752250	47.176209	70.384917	461.445072	27.233016	86.551939	353938.008001	13853.983741	9646.419829	26621.570253
1859	1728.244872	584.909217	1672.863429	-32.744253	35.438756	59.038607	529.527773	26.012189	85.695454	394215.090983	13830.442655	9760.076002	26681.110458
1860	1723.915405	532.354681	1700.124565	-11.715025	12.985624	25.701410	508.563842	24.986516	88.091693	393227.533277	13815.018389	9827.487989	26703.021373
1861	1609.146271	443.171626	1622.679503	22.050288	-23.812159	-14.666080	456.704858	29.656974	87.493046	367048.531961	13815.169721	9812.023348	26685.111877
1862	1484.139833	367.445036	1574.614698	97.690311	-102.402539	-94.808780	457.919900	32.659953	84.514796	338534.387642	13831.557461	9712.352685	26634.419353
1863	1632.901493	539.071393	1533.202383	-92.115626	98.277057	106.436340	439.372284	33.231191	86.326796	372467.131852	13841.153922	9673.135922	26603.131947
1864	1627.295808	508.929616	1546.258752	-75.434137	79.725744	85.612030	427.892560	33.162395	86.832971	371188.467194	13849.475664	9742.388024	26719.014891
1865	1591.031635	473.727530	1644.207281	62.075850	-66.784132	-57.523111	526.903176	28.638870	90.409043	362916.558011	13859.692749	9732.517172	26716.527415
1866	1507.086823	422.908441	1531.101281	31.679607	-34.250305	-26.182264	446.922899	31.099270	84.738455	343768.628418	13864.301275	9675.157962	26659.494159
1867	1663.404825	511.072185	1618.751628	-36.961279	41.409383	49.517068	466.418989	26.268276	91.931322	379424.984794	13859.414177	9692.679987	26661.749244
1868	1716.170437	508.467199	1699.625920	-4.431764	5.884381	20.049031	491.922682	23.755337	94.356396	391460.895230	13850.008082	9741.795304	26691.727805
1869	1693.278369	453.735501	1751.553473	64.162335	-69.119633	-62.731381	512.010605	23.329196	91.660872	386239.182227	13853.097250	9723.745429	26668.671080
1870	1648.420697	431.907383	1687.736799	51.236819	-54.282830	-41.574172	471.223485	28.729786	91.295594	376007.084193	13853.135334	9673.886529	26611.111266
1871	1706.124401	452.105493	1776.653185	88.813975	-93.804171	-73.904874	522.634278	22.396896	94.539070	389169.380437	13853.155295	9607.358273	26540.744607
1872	1698.549683	501.077458	1698.845380	18.373175	-21.198411	-2.319091	501.373154	27.835697	88.720091	387441.576568	13845.870278	9575.401886	26481.551042
1873	1745.156748	526.266135	1727.644119	-4.903522	3.173927	16.456162	508.753506	25.789455	88.890229	398072.713474	13838.796941	9593.195298	26482.751787
1874	1708.736133	487.036423	1709.736315	11.884257	-13.503257	-1.897613	488.036605	27.077817	90.294175	389765.120180	13835.044440	9602.627404	26481.435173
1875	1626.195901	428.742565	1650.864532	34.510923	-36.934801	-26.452826	453.411195	27.845243	88.481844	370937.577074	13838.028602	9562.495016	26456.122137
1876	1692.251316	482.114676	1682.675237	15.073255	-15.405528	10.360653	472.538597	25.383223	90.818201	386004.910460	13841.410616	9503.929828	26418.058379
1877	1509.270740	450.733363	1513.963575	27.395256	-27.675081	-3.819861	455.426197	35.928967	79.195805	344266.782870	13856.955275	9402.582515	26382.968534
1878	1574.907857	531.851431	1505.077259	-61.150829	65.265084	74.571280	462.020833	27.186974	86.606800	359238.701869	13872.006931	9395.284345	26398.739723
1879	1756.515587	591.555647	1694.565582	-27.435126	29.132964	66.084060	529.605640	25.973269	85.738452	400663.680808	13847.893580	9511.198427	26464.485290
1880	1755.087670	540.573112	1724.841473	-2.044955	2.815679	32.781351	510.326916	24.941635	88.124910	400337.970922	13832.499625	9550.236100	26477.963234
1881	1641.109774	454.107702	1646.284705	40.907867	-43.757522	-5.523471	459.282632	29.573058	87.541358	374339.452492	13833.532214	9498.869064	26444.322394
1882	1509.508453	377.080778	1596.661445	111.071977	-116.307513	-91.369757	464.233769	32.628485	84.448313	344321.005449	13851.634918	9366.114125	26377.792895
1883	1659.440616	555.461793	1543.764938	-85.222370	91.065600	123.824501	439.786115	33.132688	86.268886	378520.743297	13862.690494	9303.356034	26332.971510
1884	1658.229783	525.110795	1561.959764	-66.733421	70.554707	102.340661	428.840777	33.042418	86.818676	378244.550548	13869.726653	9354.636943	26441.162485
1885	1628.143665	489.977047	1669.139222	74.716666	-80.513399	-44.569208	530.972605	28.482174	90.431733	371381.864501	13881.450203	9321.427866	26426.263812
1886	1544.706925	436.016945	1559.013349	40.300676	-43.620076	-16.257052	450.323369	30.919625	84.777881	352349.826586	13887.362188	9244.841635	26358.351392
1887	1705.999518	524.429042	1651.990929	-29.972777	33.471749	59.108220	470.420453	26.050689	92.000811	389140.894449	13884.152306	9250.401289	26353.038971
1888	1762.634776	524.899668	1735.899238	17.278395	-15.564991	30.521283	498.164130	23.495545	94.470409	402059.476388	13877.003050	9276.177566	26368.436049
1889	1738.869439	471.392790	1787.302254	81.993835	-88.517354	-52.782909	519.825604	23.093854	91.725359	396638.569759	13883.275496	9222.617625	26325.307430
1890	1692.389706	451.374396	1720.196047	69.534942	-74.263928	-29.593118	479.180736	28.416604	91.401569	386036.476916	13886.843792	9139.474151	26247.215698
1891	1746.121142	466.201423	1809.914458	88.131984	-92.802832	-66.730724	529.994739	22.142032	94.555004	398292.693252	13889.604157	9064.149343	26167.348260
1892	1738.697941	513.067847	1733.350430	38.461309	-42.154485	3.670863	507.720335	27.507880	88.772716	396599.451125	13884.449157	9023.177729	26097.611435
1893	1789.069977	539.151653	1766.897839	11.755619	-15.036524	21.565696	516.979516	25.410853	89.012713	408089.382994	13879.643161	9014.483344	26079.776802
1894	1754.982409	498.781148	1753.520909	20.225877	-22.359797	0.935613	497.319648	26.668232	90.459087	400313.960769	13879.420281	9007.076092	26066.055626
1895	1665.563552	434.219452	1695.590751	75.976935	-80.336254	-31.926662	464.246652	27.498798	88.551099	379917.393672	13886.759881	8930.046410	26016.353105
1896	1728.900767	487.285413	1723.500640	27.097298	-28.573273	5.947295	481.885286	24.996894	90.930546	394364.701729	13894.287762	8838.685252	25949.704457
1897	1517.007180	441.039629	1548.806126	76.475899	-79.308589	-32.154953	472.838576	35.876205	78.671438	346031.475728	13914.045486	8703.387878	25887.515589
1898	1572.933390	529.046605	1508.370058	-28.021639	29.624759	68.525463	464.483273	27.183700	86.051848	358788.322954	13931.917574	8650.010193	25853.602429
1899	1785.432485	600.606846	1712.189855	-21.949441	22.451051	77.248413	527.364215	25.625005	85.736467	407259.666104	13900.633613	8766.351871	25906.723380
1900	1807.401477	548.014656	1780.561714	7.642496	-7.619394	28.978052	521.174894	24.372340	88.501084	412270.823649	13887.353528	8795.764871	25914.972377
1901	1665.785072	454.411162	1691.601150	69.543828	-73.504563	-26.780551	480.227240	29.361134	87.309155	379967.922262	13896.166963	8710.896601	25861.245003
1902	1539.449926	379.262428	1623.299559	114.958181	-122.304107	-88.845184	463.112062	32.347397	84.380981	351150.697450	13916.107530	8570.041577	25777.434193
1903	1691.221064	547.532552	1596.534391	-56.926350	62.074124	102.535641	452.845878	32.776240	86.359444	385769.908349	13928.538650	8494.761422	25722.042329
1904	1663.732454	525.084000	1578.880787	-37.401767	40.112704	90.389289	440.232332	32.899209	86.434417	379499.717462	13941.832430	8508.750392	25796.558731
1905	1635.415313	491.496151	1676.572697	77.991781	-84.665911	-45.182442	532.653534	28.308561	90.202749	373040.537700	13950.744481	8472.184208	25767.004786
1906	1572.786375	438.689137	1591.966656	58.087545	-63.242115	-21.632706	457.869418	30.705808	84.765803	358754.788855	13956.083422	8387.795709	25690.920875
1907	1749.906662	529.704213	1696.244864	-14.947907	17.185570	58.850243	476.042413	25.691030	92.223383	399156.175686	13954.521762	8376.568365	25671.718610
1908	1814.067821	529.273401	1790.192753	12.797585	-11.691378	27.691489	505.398334	23.031083	94.813434	413791.426627	13948.793140	8398.119287	25683.073662
1909	1787.829398	473.458530	1843.608066	111.078773	-119.537125	-60.348583	529.237197	22.732138	91.951049	407806.405329	13957.567348	8326.444307	25627.706793
1910	1744.042485	460.702775	1768.231136	82.202719	-86.437121	-24.957943	484.891428	27.973805	91.708475	397818.548185	13962.649140	8212.416688	25529.586285
1911	1796.025456	468.235128	1868.228011	110.938337	-118.088519	-76.277955	540.437683	21.770834	94.750873	409675.937536	13967.275632	8111.655102	25434.259116
