# Annual region-averaged outputs (area*landfrac weighted)
# Case: 20260419_coastal_LA_ICB20TRCNPRDCTCBC_baseline
# Years: 1850 - 2014
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean, umol/m2s)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
1850	1692.829632	574.219561	1681.808957	29.510872	-32.647377	10.049302	563.198885	26.635966	93.806998	386136.824376	17853.247635	10505.628193	31387.612792
1851	1759.133949	587.428826	1806.883387	75.388186	-78.906366	-49.270574	635.178263	19.939957	97.675897	401260.933417	17847.253452	10450.851857	31345.184846
1852	1750.180691	609.790824	1756.007980	28.590149	-31.261492	-7.477425	615.618112	25.213868	92.144272	399218.682484	17840.356238	10413.482409	31277.704665
1853	1796.337316	637.371245	1792.431020	12.624530	-13.756895	3.366890	633.464949	23.325614	92.091483	409747.073201	17833.089585	10418.991425	31266.259782
1854	1751.114612	609.908419	1746.418964	21.132289	-22.769988	5.123213	605.212770	24.369590	93.715174	399431.711132	17831.926047	10404.167237	31249.147185
1855	1649.366740	546.938103	1666.319830	31.793040	-33.510881	-17.642015	563.891192	25.533210	91.394467	376222.878012	17840.378314	10339.552921	31219.011567
1856	1710.325086	602.465094	1684.603071	10.323686	-10.682457	26.923040	576.743078	23.580429	93.005634	390127.562433	17850.013056	10273.329590	31177.624338
1857	1496.420700	523.243236	1517.890060	38.346979	-40.782272	-23.133655	544.712596	35.063875	80.387227	341335.670259	17859.794795	10180.947064	31148.134810
1858	1629.800509	615.605772	1566.634099	-39.372177	42.737892	68.424411	552.439363	25.876091	88.503790	371759.792645	17873.510100	10171.193725	31151.806504
1859	1810.055054	664.115330	1768.575562	-18.940545	20.469656	44.010162	622.635837	24.033889	88.296349	412876.108937	17828.227068	10334.564116	31212.908336
1860	1804.082211	605.108179	1831.945700	39.998633	-42.853797	-30.069452	632.971668	22.163673	91.583430	411513.695013	17803.802309	10372.089820	31202.398362
1861	1640.697327	542.222102	1692.701396	60.460201	-63.706336	-54.623873	594.226170	27.775826	89.740638	374245.372601	17821.098881	10251.425653	31125.253882
1862	1503.027459	489.670413	1580.863445	85.026990	-89.799452	-82.215692	567.506398	31.650168	85.854489	342842.681619	17850.482055	10132.364008	31064.168625
1863	1687.103405	648.256690	1542.161134	-137.486763	146.673733	154.667172	503.314418	32.031725	88.060073	384830.664537	17851.847548	10154.692331	31059.589683
1864	1664.458307	597.460298	1557.689859	-100.939919	106.923788	113.059676	490.691850	31.703153	88.844907	379665.285631	17845.902317	10268.261065	31213.360685
1865	1665.034522	571.097586	1741.233749	84.158849	-90.036465	-81.714469	647.296813	26.468209	93.260541	379796.721189	17854.685939	10255.740341	31219.180062
1866	1531.049333	509.127889	1602.388424	78.947271	-84.082178	-76.067501	580.466980	29.816504	86.361294	349234.510843	17874.569813	10127.748818	31124.112519
