# Annual region-averaged outputs (area*landfrac weighted)
# Case: 20260419_coastal_LA_ICB20TRCNPRDCTCBC_TAM
# Years: 1850 - 2014
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean, umol/m2s)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
1877	336.530743	8156.207055	-2588.239207	-2628.798008	2854.410825	3166.805407	5231.437107	33.179060	70.533292	76763.136659	74196.583359	200569.839467	329536.856582
1878	349.674930	7275.146340	-1285.099542	-789.973105	894.771011	1752.405575	5640.371875	27.932465	75.022730	79761.344210	74180.822247	202459.876377	331622.070024
1879	375.794223	6000.122872	914.410334	541.489212	-598.609342	-595.619457	6538.738987	26.461293	74.336914	85719.191716	74091.229224	203475.054221	331899.022074
1880	366.182265	6872.685784	-324.606821	-34.850377	-5.287149	746.010268	6181.896694	24.370525	77.805743	83526.690852	74135.337156	203456.942741	331326.106129
1881	339.750302	8900.684103	-2664.169128	87.901981	-9.339801	3208.331615	5896.764674	27.708725	77.310089	77497.522823	74240.700189	203103.026680	331075.172843
1882	315.171550	10785.827769	-4757.580088	-4220.487342	4599.701112	5467.286299	5713.076126	30.659659	74.257913	71891.074796	74363.735131	204317.083958	332995.540549
1883	345.190958	10037.717405	-4022.882972	-4375.621163	4747.162693	4738.597627	5669.643474	33.321707	74.095118	78738.544126	74421.768662	208675.820002	337336.471121
1884	339.114450	9186.283785	-3355.845838	-1362.187057	1568.705907	4008.776155	5491.323499	31.465615	76.045279	77352.484146	74389.943880	211395.387595	340129.772735
1885	328.235711	7970.971164	-1117.131136	-1003.804407	1099.728541	1546.385542	6525.604325	28.294704	78.960155	74871.028262	74446.096742	212808.032550	341410.101161
1886	293.287095	9729.267980	-3503.341879	-3398.058423	3703.895350	4124.468765	5932.638995	30.196053	73.637625	66899.199652	74573.012645	214366.506747	343532.783390
1887	308.438391	9231.849809	-2719.463270	-3029.693242	3278.116698	3276.509885	6203.948143	28.906907	77.710035	70355.231469	74625.557990	217851.348979	346859.025550
1888	305.914391	8511.137503	-1906.248173	-1379.050593	1554.147734	2409.578321	6298.974949	25.889373	79.998558	69779.503620	74637.900948	220244.613153	348880.516141
1889	304.640415	7536.523389	-974.158086	-545.280830	635.980076	1377.100305	6257.724892	24.310702	79.070465	69488.907860	74626.359891	221792.715670	350000.298684
1890	298.906409	9554.800675	-2954.348649	-2586.012169	2820.778973	3524.525275	6301.545615	29.923608	77.140720	68180.973259	74719.680878	223191.283978	351474.841169
1891	294.323056	-161.765349	7129.959431	7571.304039	-8336.302242	-7593.236283	6673.871009	24.626108	80.504728	67135.503789	74903.921479	221746.885395	349915.185480
1892	296.748085	-17.573869	6767.785194	7074.402200	-7784.534051	-7174.928791	6453.463224	27.861797	76.699597	67688.656455	75095.314871	215502.410968	342778.567844
1893	325.996347	2426.994534	4344.583652	4017.754389	-4468.492943	-4469.150588	6445.581834	26.432858	76.092946	74360.226301	75182.004797	211113.353529	337634.892652
1894	340.453533	4599.021596	1846.786632	2363.450543	-2570.915390	-1696.947663	6105.354703	28.658949	76.459867	77657.930663	75201.455684	208461.251090	334434.796616
1895	335.111549	6180.173105	-263.310829	1649.615191	-1787.462259	608.368599	5581.750725	29.325798	74.366400	76439.416512	75116.948258	206082.925119	331782.919014
1896	342.764666	5800.962043	242.508678	1258.451496	-1284.016978	88.966794	5700.706051	27.579783	76.898668	78185.103219	74941.013592	203896.710333	329359.014793
1897	330.880348	6990.668185	-1515.335193	-1850.175515	1996.021567	1992.241974	5144.452653	34.094283	69.264151	75474.273841	74815.609056	203530.245408	329117.220086
1898	347.752862	6420.510542	-263.483608	154.886675	-119.796967	658.398910	5809.274072	28.941552	73.653966	79322.917951	74769.906332	204531.462865	330335.848674
1899	371.843049	5433.210836	1510.052378	4039.315280	-4290.318089	-1231.391050	6571.420164	27.780837	72.659109	84817.923651	74666.157127	203281.069358	328322.599864
1900	366.447805	6337.432653	192.973047	-168.659323	204.358448	209.875812	6163.957898	25.067613	76.816202	83587.260786	74638.207997	201703.776232	326019.557513
1901	357.226374	8008.797861	-1910.980626	-2274.443938	2480.402029	2474.026201	5740.590861	27.576520	77.272841	81483.839201	74667.230708	203073.651394	327187.001671
1902	324.987192	9591.698436	-3400.467771	-3723.016290	4031.537479	4034.322571	5866.243476	30.507737	74.132224	74130.036510	74804.415548	205401.664910	330345.406602
1903	354.188082	7502.469882	-1510.081738	-1088.321522	1144.160747	1928.408207	5638.200060	33.332050	73.783687	80790.800649	74974.828971	207806.362970	332641.743282
1904	357.007192	7273.021173	-1546.749328	674.670494	-663.523561	2015.925685	5369.264668	32.274025	75.016962	81433.843471	74900.386886	208055.122485	332990.245803
1905	360.091821	6450.571450	217.912371	-136.907652	104.387243	110.287941	6308.392000	29.767863	77.422850	82137.451788	74859.432551	208156.139624	332885.657662
1906	341.719973	7599.679195	-1681.299459	-1297.232666	1447.681323	2181.593234	5576.659755	30.821342	73.120676	77946.807353	74845.376949	208724.656951	333542.419648
1907	359.669867	7405.972434	-1107.019286	-738.523932	824.959988	1560.911307	5939.283276	28.954463	77.654854	82041.203571	74782.158004	209693.538459	334327.730205
1908	361.124771	7061.474292	-742.240423	-218.481117	283.258669	1177.497814	5958.109106	26.442427	79.569581	82373.069250	74703.346444	210347.126934	334604.540491
1909	361.940684	6427.397634	-39.936197	-402.933777	396.768686	395.837846	6025.520757	25.210004	78.288775	82559.180177	74623.813772	211204.270281	335062.994503
1910	355.812069	8269.881212	-1957.499007	-2309.993301	2468.410094	2472.211122	5956.570141	30.295939	76.980213	81161.234498	74637.289634	212675.594954	336411.718373
1911	356.501587	3509.586033	3218.159718	3625.607803	-3794.174664	-3021.601073	6371.244150	24.487219	80.825533	81318.514488	74714.154777	212658.797213	336160.834260
1912	359.244064	3596.176433	2982.243454	2625.112690	-2759.511540	-2756.884762	6219.175815	27.773625	76.896340	81944.077178	74770.043889	210382.480667	333220.010912
1913	377.740773	5096.122640	1505.156125	1131.238609	-1155.585577	-1151.211066	6223.537990	26.076314	76.486667	86163.202675	74778.921864	209190.434625	331525.075091
1914	368.234479	6829.898688	-391.961632	-759.884558	898.901708	899.743182	6069.702569	28.002192	77.017600	83994.803678	74790.216752	209139.851166	331352.714605
1915	358.322418	7936.429803	-2037.267287	-2391.453194	2654.849899	2659.572322	5540.840097	28.522751	75.060486	81733.848459	74753.747606	210526.063621	332672.935197
1916	358.655401	7070.174047	-946.523083	-910.814511	1029.978161	1446.005222	5764.995572	25.934965	78.304071	81809.802412	74659.844998	211658.776682	333773.195510
1917	320.521238	8420.489222	-2763.210506	-3082.918111	3384.005543	3385.440826	5336.757478	32.641865	70.277094	73111.346128	74697.486942	212705.716484	335274.331425
1918	336.327937	7834.393059	-1615.667452	-1947.489953	2150.824175	2155.953103	5882.397666	27.929650	74.278462	76716.876596	74724.682682	215174.792624	338183.690852
1919	357.142789	6586.863695	492.734256	850.005925	-856.836732	-134.207790	6722.455162	26.798590	73.344296	81464.773647	74670.746979	216427.919309	338906.577537
1920	345.037114	7435.815770	-741.943830	-1080.309786	1186.555908	1193.902126	6348.834826	24.534419	76.996980	78703.451875	74715.920112	216704.646967	338741.410917
1921	342.668526	8791.988238	-2358.739353	-1980.051838	2217.235319	2946.901270	6090.580370	21.773285	80.246028	78163.173604	74806.542022	218196.033220	340297.430811
1922	345.796280	9132.648682	-2246.179896	-2585.124639	2809.889777	2817.430159	6540.672511	20.212436	84.137942	78876.618853	74899.617315	220348.097193	342536.042786
1923	348.613385	9958.683636	-3059.211571	-3402.926436	3686.395268	3691.966350	6550.858684	20.983806	83.338130	79519.204496	74974.640690	223633.897989	345695.305983
1924	289.751383	12723.019317	-7357.275949	-7642.089777	8289.733742	8295.344357	5075.991986	33.755676	67.391229	66092.698859	75053.107612	227343.113312	350308.614165
